term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2484258868335694,0.2935315266125584,1.8605942470601786e-14,9.47281281480265,5.328682887883982,16.83984288656417
C(treatment)[T.T1],-0.07256686580850588,0.18971110923799278,0.7020812779262193,0.930003559141297,0.6412084756503461,1.3488695999195077
C(treatment)[T.T2],-1.0146613248662377,0.21218409207596223,1.7357190396234045e-06,0.36252518731016886,0.23917921719057827,0.5494813177248331
C(treatment)[T.T3],0.035587595455446,0.06533084857121155,0.5859400465704494,1.0362284130524968,0.9116848865526787,1.1777855922099367
C(treatment)[T.T4],-0.462428733299937,0.16446405047024476,0.004927563417053742,0.6297522862797105,0.45622084740677554,0.8692893898399972
C(treatment)[T.T5],-0.33211659167149343,0.13633159790441052,0.01484682457993161,0.7174036746846311,0.5491813722889949,0.9371549335438475
temp,-0.08234717757411747,0.03270382335215085,0.011803407605750658,0.9209521692477006,0.8637717948951489,0.9819177971017223
