term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2179919534554307,0.17879150248477654,2.4408770444588413e-35,9.188860667667534,6.472488193793504,13.045239765871283
C(treatment)[T.T1],0.07198437366049942,0.18977520229113146,0.7044547727737023,1.0746385512657666,0.7408367244553523,1.5588428296607535
C(treatment)[T.T2],-0.323792547670144,0.1766425369258085,0.06679686540453182,0.7234002978918377,0.5117024782337608,1.0226801965007037
C(treatment)[T.T3],-0.179370840260229,0.1809259823160527,0.3214880843067266,0.8357958951523042,0.5862635974185576,1.1915370175281659
C(treatment)[T.T4],-0.11696155619451133,0.18295075327942184,0.5226237369609233,0.889619392860922,0.6215462011739838,1.2733126880341106
C(treatment)[T.T5],-1.249000902703301e-16,0.1870475351081757,0.9999999999999994,0.9999999999999999,0.6930776972645619,1.4428396757633355
temp,-0.19734708392627542,0.25423326339718877,0.4376048413454794,0.8209056607009945,0.4987530077674769,1.3511419345366795
