term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.3327939592674634,0.07178421992813175,1.1638398827588069e-231,10.306697836303664,8.953968915253999,11.863791497857044
C(treatment)[T.T1],-0.11303760648360589,0.08411669135328784,0.179006929971662,0.8931170724919184,0.7573677672403206,1.053197851399226
C(treatment)[T.T2],-0.16602348173135242,0.0833079148360872,0.0462735312701875,0.8470263443108107,0.7194221239840222,0.9972637816354812
C(treatment)[T.T3],-0.06481635921496223,0.0848849368930006,0.44511813964580194,0.9372395629837812,0.7935880067996965,1.1068942460010536
C(treatment)[T.T4],-0.22627385437405884,0.08243176794716876,0.0060513914466298144,0.7974996729844572,0.6785208168056532,0.9373415120917146
C(treatment)[T.T5],-0.5725138812252273,0.07821202506944198,2.4792706849855225e-13,0.5641055603672978,0.4839326908823396,0.6575606261629302
temp,-0.1387059029227813,0.03725369928838808,0.0001966522801049422,0.8704839976159806,0.8091886875929696,0.9364223718444403
