config_id,treatment,temp,n_questions,k_runs,accuracy_mean,strict_stability_rate,entropy_mean_bits,mode_freq_mean
T0_temp0.2,T0,0.2,10,3,0.2,0.8,0.18366,0.9333400000000001
T0_temp0.7,T0,0.7,10,3,0.13333,0.5,0.59249,0.76667
T1_temp0.2,T1,0.2,10,3,0.2,1.0,0.0,1.0
T1_temp0.7,T1,0.7,10,3,0.26666,0.4,0.61765,0.76668
T2_temp0.2,T2,0.2,10,3,0.19999,0.5,0.45915,0.83335
T2_temp0.7,T2,0.7,10,3,0.16665999999999997,0.4,0.55098,0.80002
T3_temp0.2,T3,0.2,10,3,0.16665999999999997,0.6,0.36732,0.86668
T3_temp0.7,T3,0.7,10,3,0.29999000000000003,0.3,0.70948,0.73335
T4_temp0.2,T4,0.2,10,3,0.23334000000000002,0.7,0.27549,0.90001
T4_temp0.7,T4,0.7,10,3,0.23331999999999997,0.6,0.50066,0.8
T5_temp0.2,T5,0.2,10,3,0.19999999999999998,0.5,0.5258200000000001,0.80001
T5_temp0.7,T5,0.7,10,3,0.16667,0.6,0.43399,0.83334
