term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.248425886833788,0.2935315266121292,1.8605942468871638e-14,9.47281281480472,5.328682887889628,16.839842886553686
C(treatment)[T.T1],-0.07256686580843998,0.18971110923796913,0.7020812779264414,0.9300035591413582,0.6412084756504182,1.3488695999195341
C(treatment)[T.T2],-1.0146613248661314,0.21218409207586744,1.7357190396092853e-06,0.3625251873102074,0.23917921719064816,0.5494813177247894
C(treatment)[T.T3],0.03558759545537469,0.06533084857124169,0.5859400465713731,1.0362284130524229,0.9116848865525599,1.1777855922099223
C(treatment)[T.T4],-0.462428733299892,0.16446405047016588,0.004927563417037283,0.6297522862797388,0.4562208474068666,0.8692893898399019
C(treatment)[T.T5],-0.3321165916715114,0.13633159790429467,0.01484682457984122,0.7174036746846182,0.5491813722891098,0.9371549335436178
temp,-0.0823471775741321,0.03270382335198002,0.011803407605294913,0.9209521692476871,0.8637717948954254,0.9819177971013793
