config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits,avg_total_tokens_per_run,total_tokens,tokens_per_correct
T0_temp0.2,30,17,0.5667,0.9,0.9667,0.0918,,,
T0_temp0.7,30,16,0.5333,0.5,0.8,0.5258,,,
T5_temp0.2,30,16,0.5333,0.5,0.8333,0.4591,,,
T5_temp0.7,30,17,0.5667,0.5,0.8,0.5258,,,
