config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,500,450,0.9,1.0,1.0,-0.0
T0_temp0.5,500,446,0.892,1.0,1.0,-0.0
T0_temp0.7,500,444,0.888,1.0,1.0,-0.0
T1_temp0.2,500,440,0.88,1.0,1.0,-0.0
T1_temp0.5,500,444,0.888,1.0,1.0,-0.0
T1_temp0.7,500,442,0.884,1.0,1.0,-0.0
T2_temp0.2,500,441,0.882,1.0,1.0,-0.0
T2_temp0.5,500,439,0.878,1.0,1.0,-0.0
T2_temp0.7,500,433,0.866,1.0,1.0,-0.0
T3_temp0.2,500,442,0.884,1.0,1.0,-0.0
T3_temp0.5,500,436,0.872,1.0,1.0,-0.0
T3_temp0.7,500,446,0.892,1.0,1.0,-0.0
T4_temp0.2,500,437,0.874,1.0,1.0,-0.0
T4_temp0.5,500,435,0.87,1.0,1.0,-0.0
T4_temp0.7,500,439,0.878,1.0,1.0,-0.0
T5_temp0.2,500,423,0.846,1.0,1.0,-0.0
T5_temp0.5,500,418,0.836,1.0,1.0,-0.0
T5_temp0.7,500,408,0.816,1.0,1.0,-0.0
