config_id,n_runs,n_correct,accuracy,strict_stability,avg_mode_freq,avg_entropy_bits
T0_temp0.2,200,181,0.905,0.975,0.995,0.018
T0_temp0.5,200,178,0.89,0.925,0.975,0.0666
T0_temp0.7,200,177,0.885,0.9,0.965,0.0909
T1_temp0.2,200,181,0.905,0.975,0.995,0.018
T1_temp0.5,200,181,0.905,0.975,0.995,0.018
T1_temp0.7,200,178,0.89,0.975,0.99,0.0243
T2_temp0.2,200,173,0.865,0.85,0.95,0.1432
T2_temp0.5,200,171,0.855,0.825,0.935,0.1788
T2_temp0.7,200,171,0.855,0.8,0.94,0.1768
T3_temp0.2,200,175,0.875,0.975,0.99,0.0243
T3_temp0.5,200,176,0.88,0.95,0.99,0.0361
T3_temp0.7,200,174,0.87,0.975,0.995,0.018
T4_temp0.2,200,177,0.885,0.8,0.945,0.1731
T4_temp0.5,200,180,0.9,0.925,0.965,0.0966
T4_temp0.7,200,172,0.86,0.85,0.945,0.147
T5_temp0.2,200,178,0.89,0.95,0.99,0.0361
T5_temp0.5,200,178,0.89,0.95,0.99,0.0361
T5_temp0.7,200,180,0.9,0.9,0.98,0.0722
