term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,1.5789890776144548,0.24274734995621441,7.786908337956633e-11,4.850050307686468,3.013807627028361,7.805072817565153
C(treatment)[T.T1],0.11044887544637338,0.21891621904491812,0.6138919531032776,1.1167792527518228,0.7271467870779182,1.7151913775055643
C(treatment)[T.T2],-0.017955136327455514,0.1938021640167553,0.9261842199834533,0.9822050966976791,0.6717914171404787,1.436051172081531
C(treatment)[T.T3],0.33875114810783424,0.11856652660691064,0.004275910519765718,1.4031941142507283,1.11222304523069,1.7702867520241847
C(treatment)[T.T4],0.015673596544466324,0.14773683931697762,0.9155098965798767,1.0157970716147993,0.7604152536637334,1.3569476489716732
C(treatment)[T.T5],0.05248992542059175,0.17675194061864882,0.7664898379740835,1.053891944506971,0.7453183188811829,1.4902199537560916
temp,-0.04267525358716882,0.05471255907140049,0.4353967114080153,0.9582225188710123,0.8607838345064116,1.0666910307371347
C(treatment)[T.T1]:temp,-0.0638793195094288,0.08032508115518305,0.4264623090998396,0.9381182052649555,0.8014629942840058,1.098074113622371
C(treatment)[T.T2]:temp,0.07504049413032185,0.09399447333718798,0.424667370941468,1.0779277997496648,0.8965612440924416,1.295983234976138
C(treatment)[T.T3]:temp,-0.13917779482338657,0.07827640538620416,0.075398932564224,0.8700733201731995,0.7463209455500399,1.0143458883085268
C(treatment)[T.T4]:temp,0.023950316975768243,0.07804020903874646,0.758921665884907,1.024239429314097,0.878966500679772,1.1935226288491587
C(treatment)[T.T5]:temp,-0.19797716368711182,0.0899359245872385,0.027713838793611147,0.8203885875743933,0.6878038552026231,0.9785310587188186
