term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2660169252205438,0.3198995410371175,1.4053134909887382e-12,9.64092371625855,5.150088117831417,18.047731995283723
C(treatment)[T.T1],-0.08590189164940648,0.18915178894904008,0.649726169129071,0.9176842592928708,0.6334087073387544,1.3295434527449843
C(treatment)[T.T2],-0.14276053954772344,0.1073843153220701,0.1837042751074318,0.866961647069229,0.7024129517307806,1.0700578564745356
C(treatment)[T.T3],-0.0393806644823189,0.08258372244846865,0.6334636228129037,0.9613846744831676,0.8177122634110615,1.1303003925556672
C(treatment)[T.T4],-0.20860800632865356,0.10365383903429584,0.04416252734786985,0.8117133597879964,0.6624769389657761,0.9945683233697519
C(treatment)[T.T5],-0.4814043820564596,0.17342743482748554,0.005506166818810431,0.6179149934381237,0.4398497206799977,0.8680667990998223
temp,-0.08741883679222187,0.05189998044794349,0.09210993653848014,0.9162932379313897,0.8276683084873953,1.0144079328266038
