treatment,n_configs,accuracy_mean_over_temps,accuracy_sd_over_temps,stability_mean_over_temps,stability_sd_over_temps,entropy_mean_over_temps,entropy_sd_over_temps
T0,5,0.9,0.0024494897427831904,0.906,0.0054772255750516665,0.080328,0.00324569214498233
T1,5,0.892,0.009273618495495763,0.916,0.04037325847637275,0.07499639999999999,0.03691683031220313
T2,5,0.8864000000000001,0.012116104984688762,0.8240000000000001,0.04449719092257397,0.1710878,0.047924688237900935
T3,5,0.8964000000000001,0.011260550608207404,0.906,0.028809720581775854,0.087619,0.026081644848437
T4,5,0.8795999999999999,0.007127411872482178,0.8300000000000001,0.03937003937005905,0.16496,0.0409639232618166
T5,5,0.8475999999999999,0.010526157893552638,0.696,0.06387487769068526,0.2915388,0.04931495893945367
