term,coef_logit,std_err_cluster,p_value_cluster,odds_ratio,or_ci_low,or_ci_high
Intercept,2.296155712449197,0.3282166319248932,2.6364755103388234e-12,9.935912436982061,5.2218467031265625,18.905640392749394
C(treatment)[T.T1],-0.050527703292047504,0.2006932599425173,0.8012220776139547,0.9507275900234109,0.6415382359168019,1.4089307539713707
C(treatment)[T.T2],-0.08542273249899965,0.10479640117480972,0.414997671594573,0.9181240814668898,0.7476474924987441,1.1274722879791323
C(treatment)[T.T3],-0.014644612372068287,0.10466711739058812,0.8887262992671517,0.9854620984158949,0.80268560883134,1.2098579278482038
C(treatment)[T.T4],-0.15900490553449562,0.0992747087204234,0.10922953225661956,0.8529921745763313,0.7021674752855307,1.0362138314546505
C(treatment)[T.T5],-0.4863862555741987,0.17573395527749794,0.005644611440755591,0.614844274414022,0.43568977770065803,0.867666631461421
temp,-0.2259806388855038,0.12520332823813535,0.07108889206407745,0.7977335465266907,0.6241408828908511,1.019607637792477
