term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.296155712449197,0.11525178421465475,2.573640867878547e-88,9.935912436982061,7.92690140088891,12.454091575341689
C(treatment)[T.T1],-0.050527703292047504,0.120170398867084,0.6741442334168797,0.9507275900234109,0.7512162756879477,1.203225994543271
C(treatment)[T.T2],-0.08542273249899965,0.1193715515239882,0.4742360440630291,0.9181240814668898,0.7265914157868815,1.1601455930449207
C(treatment)[T.T3],-0.014644612372068287,0.12101649534889318,0.903680455476981,0.9854620984158949,0.7773714833983649,1.2492554308383337
C(treatment)[T.T4],-0.15900490553449562,0.11776217992699257,0.176945275049173,0.8529921745763313,0.6771795830878861,1.0744500691687706
C(treatment)[T.T5],-0.4863862555741987,0.11173051898793473,1.341593863531911e-05,0.614844274414022,0.49392180055788903,0.765371120190915
temp,-0.2259806388855038,0.16220391747652216,0.16356278447115147,0.7977335465266907,0.580479776141375,1.0962979890259996
