treatment,n_configs,accuracy_mean_over_temps,accuracy_sd_over_temps,stability_mean_over_temps,stability_sd_over_temps,entropy_mean_over_temps,entropy_sd_over_temps
T0,3,0.8993333333333333,0.0011547005383792366,0.9033333333333333,0.0057735026918962545,0.08208700000000001,0.0013707519834017963
T1,3,0.8946666666666667,0.0011547005383792366,0.9366666666666666,0.020816659994661337,0.05618733333333333,0.011798388717673846
T2,3,0.8913333333333333,0.013316656236958862,0.8466666666666667,0.040414518843273774,0.14513433333333334,0.04179489734804159
T3,3,0.898,0.015099668870541512,0.9133333333333334,0.03511884584284244,0.07602566666666666,0.026431137023089517
T4,3,0.884,0.0052915026221292015,0.85,0.0346410161513775,0.14438866666666664,0.03423369819831524
T5,3,0.846,0.014000000000000012,0.7266666666666667,0.06806859285554046,0.265878,0.048103706343690406
