treatment,n_configs,accuracy_mean_over_temps,accuracy_sd_over_temps,stability_mean_over_temps,stability_sd_over_temps,entropy_mean_over_temps,entropy_sd_over_temps
T0,3,0.8933333333333334,0.00611010092660778,1.0,0.0,0.0,0.0
T1,3,0.884,0.0040000000000000036,1.0,0.0,0.0,0.0
T2,3,0.8753333333333333,0.008326663997864522,1.0,0.0,0.0,0.0
T3,3,0.8826666666666667,0.010066445913694329,1.0,0.0,0.0,0.0
T4,3,0.874,0.0040000000000000036,1.0,0.0,0.0,0.0
T5,3,0.8326666666666666,0.015275252316519494,1.0,0.0,0.0,0.0
