treatment,n_configs,accuracy_mean_over_temps,accuracy_sd_over_temps,stability_mean_over_temps,stability_sd_over_temps,entropy_mean_over_temps,entropy_sd_over_temps
T0,2,0.901,0.004242640687119289,0.91,0.0,0.0776895,0.003895451257556695
T1,2,0.8879999999999999,0.016970562748477195,0.885,0.049497474683058366,0.10321,0.05019609618287063
T2,2,0.879,0.0070710678118653635,0.79,0.028284271247461926,0.21001799999999998,0.025329979115664508
T3,2,0.894,0.005656854249492385,0.895,0.021213203435596444,0.10500900000000002,0.017769593411217935
T4,2,0.873,0.001414213562373214,0.8,0.028284271247461888,0.195817,0.03456055103727372
T5,2,0.8500000000000001,0.005656854249492424,0.65,0.0,0.33003000000000005,0.012702466217235185
