treatment,n_configs,accuracy_mean_over_temps,accuracy_sd_over_temps,stability_mean_over_temps,stability_sd_over_temps,entropy_mean_over_temps,entropy_sd_over_temps
T0,3,0.8933333333333334,0.02081665999466133,1.0,0.0,0.0,0.0
T1,3,0.8866666666666667,0.015275252316519494,1.0,0.0,0.0,0.0
T2,3,0.9066666666666667,0.015275252316519494,1.0,0.0,0.0,0.0
T3,3,0.9066666666666667,0.0057735026918962545,1.0,0.0,0.0,0.0
T4,3,0.8933333333333334,0.0057735026918962545,1.0,0.0,0.0,0.0
T5,3,0.8566666666666666,0.028867513459481322,1.0,0.0,0.0,0.0
