term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.3916915350854286,0.39820578984423327,1.899574134954852e-09,10.931970123099171,5.008859212088394,23.859319200649928
C(treatment)[T.T1],-0.056363595826816604,0.41585821575294896,0.8921884134211757,0.9451954042999675,0.41834630913927545,2.135537789607583
C(treatment)[T.T2],0.21530542802880437,0.22185847701374603,0.3318157931664696,1.2402406433781825,0.8028903001220143,1.9158244323706117
C(treatment)[T.T3],-0.10355582404221718,0.34065056700851143,0.7611322485384424,0.9016256889464267,0.4624434797798085,1.7578988968666895
C(treatment)[T.T4],-0.279308878806574,0.2800326962805558,0.31856299724411863,0.7563062601581686,0.4368466924995389,1.309381915842339
C(treatment)[T.T5],-0.6535615403243538,0.41389821841404106,0.11432705009230583,0.5201897967116751,0.23112373825947438,1.1707902729538922
temp,-0.559856430530578,0.4745019326254904,0.23804703145332717,0.5712910779182581,0.22539965263631007,1.4479769240621672
C(treatment)[T.T1]:temp,-0.024399130380242107,0.6566200042123297,0.9703584871427914,0.9758961222246307,0.2694494869585873,3.5345149553743465
C(treatment)[T.T2]:temp,-0.13686383645608527,0.5057267491683944,0.7866771312449773,0.8720889647720412,0.32365140113711666,2.3498713733513674
C(treatment)[T.T3]:temp,0.5287388577185029,0.6481472776840441,0.4146319124961445,1.6967910637417756,0.4763369454675573,6.0442506956245285
C(treatment)[T.T4]:temp,0.5874587394367214,0.658534837220838,0.3723557658978066,1.799409830933306,0.49496434885808016,6.541634255334654
C(treatment)[T.T5]:temp,0.6668244108726861,0.6846046945344393,0.33004244139506167,1.9480413090487547,0.5091560181629303,7.453245776122844
