treatment,temp,predicted_p_correct
T0,0.2,0.9071834940817518
T0,0.5,0.8920412647956278
T0,0.7,0.8807752411226284
T1,0.2,0.9018965090623241
T1,0.5,0.8852587273441989
T1,0.7,0.872844763593486
T2,0.2,0.9218428275769244
T2,0.5,0.9053929310576454
T2,0.7,0.8927642413654148
T3,0.2,0.9073678949170417
T3,0.5,0.9065802627074021
T3,0.7,0.9060518423755617
T4,0.2,0.8926311280701975
T4,0.5,0.8934221798245183
T4,0.7,0.8939466921052933
T5,0.2,0.8531499832745479
T5,0.5,0.8571250418136448
T5,0.7,0.8597249749118193
