term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.2514127689747334,0.2568641008406087,1.8678359838750394e-18,9.501149288011758,5.742870263907937,15.718940816130804
C(treatment)[T.T1],-0.06813525981575061,0.26109859345240555,0.794126393666873,0.9341341142235585,0.5599607970437379,1.5583350619598355
C(treatment)[T.T2],0.14838639894158306,0.2727490960525158,0.5864139960766297,1.1599610174900696,0.679633341900771,1.9797580241333232
C(treatment)[T.T3],0.14838639894158717,0.27274909605251585,0.5864139960766195,1.1599610174900743,0.6796333419007736,1.9797580241333315
C(treatment)[T.T4],-2.7755575615628914e-15,0.2645423415317861,0.9999999999999917,0.9999999999999972,0.5954112180359822,1.6795115202877517
C(treatment)[T.T5],-0.3374849723037792,0.2492955555974783,0.1758147243617625,0.7135626978293879,0.4377513336255027,1.1631528784082514
temp,-0.26780094438872926,0.3701874974994685,0.4694220451516272,0.7650600554438254,0.37032716308439434,1.5805399840527512
