term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,1.6314298975611026,0.23608468081717848,4.834287463120745e-12,5.1111779567458315,3.2178193934965327,8.118584951760639
C(treatment)[T.T1],0.04648299639169524,0.16420854078127015,0.7771209150917077,1.0475802662725777,0.7592943654251998,1.445321425069676
C(treatment)[T.T2],0.05595191548892614,0.12756378708998656,0.6609375436458417,1.0575468308917029,0.8235976911403373,1.3579509893726895
C(treatment)[T.T3],0.19788677860405365,0.06064943054971543,0.0011031851995528833,1.2188243890105042,1.0822193591079752,1.3726726275450174
C(treatment)[T.T4],0.039419877535395456,0.10627843946038121,0.7107035746063851,1.0402071515853226,0.84460529791821,1.2811083720126422
C(treatment)[T.T5],-0.148504774126627,0.13300927588923755,0.26420843523341686,0.8619958918831355,0.6641794201947188,1.118729209353648
temp,-0.0951219449742754,0.031024478832787736,0.002169224341786438,0.9092620477703062,0.8556191470768928,0.9662680812367929
