term,coef_logit,std_err,p_value,odds_ratio,or_ci_low,or_ci_high
Intercept,2.3327939592674825,0.07178421992813144,1.1638398827434441e-231,10.306697836303861,8.953968915254176,11.86379149785726
C(treatment)[T.T1],-0.11303760648360758,0.08411669135328721,0.17900692997165235,0.893117072491917,0.7573677672403203,1.0531978513992228
C(treatment)[T.T2],-0.16602348173135895,0.08330791483608724,0.04627353127017903,0.8470263443108051,0.7194221239840173,0.9972637816354748
C(treatment)[T.T3],-0.06481635921496678,0.08488493689300006,0.44511813964576685,0.9372395629837769,0.7935880067996938,1.1068942460010474
C(treatment)[T.T4],-0.2262738543740559,0.08243176794716797,0.006051391446629984,0.7974996729844596,0.6785208168056562,0.9373415120917158
C(treatment)[T.T5],-0.5725138812252287,0.07821202506944143,2.479270684984223e-13,0.5641055603672969,0.4839326908823394,0.6575606261629285
temp,-0.13870590292277557,0.03725369928838721,0.00019665228010499398,0.8704839976159856,0.8091886875929756,0.9364223718444441
